ILCE,alan_metrekare
EYÜPSULTAN,49420.8888968509
BEYOĞLU,1681.4718532668621
ŞİLE,1975.765939332733
EYÜPSULTAN,8797.621698415995
BAHÇELİEVLER,674.8267216742494
ÜSKÜDAR,163133.63374301215
ESENYURT,8118.806315535545
BAĞCILAR,55106.648338655345
EYÜPSULTAN,300.44488434843163
ŞİLE,972.93203110126
KAĞITHANE,16892.0345816756
ÜSKÜDAR,2489.392019383041
SARIYER,4222.3444277684475
BEYOĞLU,30769.429513174942
ŞİLE,734.7135843413342
BAŞAKŞEHİR,6775.753279701082
PENDİK,17467.83560502247
FATİH,1951.1645053674165
KARTAL,5350.89873276754
BAKIRKÖY,25512.526437595032
SANCAKTEPE,95300.67070649452
ŞİLE,1094.8394384142675
KAĞITHANE,100520.2954334331
ŞİLE,2664.6982173421957
BAŞAKŞEHİR,32899.17232046192
ÜMRANİYE,420.6801979635668
BAŞAKŞEHİR,586780.4895633106
BAKIRKÖY,28319.253657701083
BEYLİKDÜZÜ,5774.1977863274105
ÜSKÜDAR,114851.42688233455
BEYKOZ,4213.91293785574
ŞİLE,1183.6873461793157
BAKIRKÖY,644716.1727100282
ÜSKÜDAR,56446.011746466436
BEYOĞLU,8715.639122769295
BÜYÜKÇEKMECE,135039.6258581287
BAKIRKÖY,34690.766487588786
SANCAKTEPE,554.9495909660315
MALTEPE,26923.069630538514
SARIYER,2329.975842122761
EYÜPSULTAN,30519.749899469683
FATİH,34764.414543792365
MALTEPE,24659.049176286957
BAĞCILAR,1233.0397677416033
ARNAVUTKÖY,8797.158671860463
SİLİVRİ,36466.9230595041
FATİH,3904.4587040685055
KADIKÖY,13626.80082202363
KARTAL,7750.099812819254
ÜSKÜDAR,30813.026621125595
FATİH,10059.505706859683
ÜSKÜDAR,275.12153770842906
AVCILAR,11829.796937124254
BAŞAKŞEHİR,11359.452600428616
ARNAVUTKÖY,21597.89492322822
AVCILAR,183253.14636106853
ÜSKÜDAR,1157.569093554005
BAŞAKŞEHİR,245345.13225636655
BAŞAKŞEHİR,13204.68544180702
SANCAKTEPE,1230.9430825219274
SİLİVRİ,231973.25079777394
SİLİVRİ,129830.48106528408
TUZLA,2063.9658509722267
BEYOĞLU,4503.0244689119245
FATİH,13296.229567633303
KAĞITHANE,34339.491824928045
ŞİLE,2151.3150153980987
KARTAL,688.046021945879
SİLİVRİ,858206.6366784163
EYÜPSULTAN,1621963.4130341976
BAŞAKŞEHİR,5259.529043560987
ŞİLE,876.5063503031948
ÇEKMEKÖY,43075.02156086322
BAYRAMPAŞA,18564.90520631741
SİLİVRİ,61070.58488259135
BEŞİKTAŞ,17331.657538703592
ŞİŞLİ,3165.91357940633
TUZLA,11249.083696005486
KÜÇÜKÇEKMECE,1577.557217453497
KARTAL,1749.0394089014378
SİLİVRİ,201116.44190836477
ŞİLE,5535.948839888884
KAĞITHANE,8897.713313017142
ŞİLE,1714.8124906258465
KARTAL,9913.449470106703
PENDİK,61271.812270308925
KÜÇÜKÇEKMECE,4638.644984020194
BEYKOZ,8214.504132144242
MALTEPE,179.08613025246123
FATİH,55071.806728645206
ÜMRANİYE,17726.901813769033
ŞİLE,375.2734934249355
TUZLA,1605.5359153360346
ÜMRANİYE,5458.64332172861
BAKIRKÖY,175453.6314734475
KÜÇÜKÇEKMECE,103789.47446868231
ŞİLE,2843.8278050804715
ÜSKÜDAR,138948.8286600234
ŞİLE,368.5627283617317
EYÜPSULTAN,1519385.1141311154
KÜÇÜKÇEKMECE,25131.257052942616
ŞİLE,3777.048839209279
PENDİK,10120.994940639144
BEŞİKTAŞ,30900.755504501944
PENDİK,139.5798645815844
ŞİLE,1395.9370858948898
SİLİVRİ,5022.339888144002
BAKIRKÖY,11120.874715697093
SİLİVRİ,2388.117604082347
ÜSKÜDAR,7444.080659826921
KADIKÖY,78779.71047927515
ŞİŞLİ,3797.385352685385
ATAŞEHİR,12612.425917377046
SULTANBEYLİ,15731.067907463526
ŞİLE,643.3274235419934
SARIYER,12439.677042799112
KÜÇÜKÇEKMECE,2369.5870560756234
KARTAL,53581.86290129256
TUZLA,48828.99866967151
ESENYURT,97082.82777262304
EYÜPSULTAN,2225180.5430241753
BEYOĞLU,2869.3079858796273
BAYRAMPAŞA,37933.527571782884
KARTAL,93882.34039218296
BEYLİKDÜZÜ,200.4869792954064
BEYKOZ,3982.253166027811
KARTAL,48950.430063538544
ATAŞEHİR,8295.239773070252
BEYKOZ,25921.58532784739
ŞİLE,199.79903627726384
BAĞCILAR,630.6194713349498
ÜSKÜDAR,1773.3649629113108
MALTEPE,6666.0901066756
ÜMRANİYE,229435.47772196968
BEŞİKTAŞ,1568.3383999990785
FATİH,12777.60216876937
BEYKOZ,4774.290017111539
SANCAKTEPE,9383.320966604058
SARIYER,1075120.070545683
PENDİK,19555.213679739838
SULTANGAZİ,113295.00647811005
SARIYER,2467.024967511462
BAŞAKŞEHİR,38629.83209449194
SARIYER,19814.785636715307
ŞİLE,11011.65061993791
PENDİK,201.37650099682713
SARIYER,1695.5288147643118
FATİH,8800.461684112875
FATİH,229.01366487174664
KAĞITHANE,409728.8464172173
FATİH,120617.37608986998
BEYKOZ,12314.917278702624
FATİH,10159.057228941196
ESENLER,64962.429778098885
PENDİK,262.0085835348303
ÜSKÜDAR,1112.9461303750832
PENDİK,93605.29181400652
EYÜPSULTAN,5233.463108841721
FATİH,35926.969335164664
