Durak Adı,İlçe
İLYASZADE CAMİİ,Zeytinburnu
Aksu Cad.,Bakırköy
Aksu Cad.,Bakırköy
Aksu Cad.,Bakırköy
Aksu Cad.,Bakırköy
Aksu Cad.,Bakırköy
Aksu Cad.,Bakırköy
İETT Zeytinburnu Durağı Peronları İç Yolu,Bakırköy
Yan Yol Sk.,Bakırköy
Adnan Kahveci Cad.,Büyükçekmece
D-100 Güney Yanyol 1,Beylikdüzü
Parmaksız Cad.,Büyükçekmece
Hilal 86 Cad.,Büyükçekmece
ZEYTİNBURNU İSTASYON,Zeytinburnu
İNCİRLİ CAD.,Silivri
ÇATALCA CAD.,Silivri
GÖKUN CAD.,Silivri
GÖKYÜZÜ CAD.,Silivri
İSTASYON CAD.,Silivri
ANADOLU HASTANESİ,Silivri
TURGUT ÖZAL BULVARI,Silivri
İNÖNÜ CADDESİ,Silivri
Gürhan Cad.,Silivri
BÜYÜKYALI CADDESİ,Silivri
BÜYÜKYALI CADDESİ,Silivri
BÜYÜKYALI CADDESİ,Silivri
BÖLGE TRAFİK,Silivri
D-100 Karayolu,Silivri
Yavuz Sk.,Silivri
Burhan Soyaslan Cad.,Silivri
KANUNİ SULTAN SÜLEYMAN HASTANESİ,Küçükçekmece
HASTANE YOLU,Küçükçekmece
ZAFER SK,Küçükçekmece
BARBAROS CADDESİ,Küçükçekmece
OKUL,Küçükçekmece
KÜÇÜKÇEKMECE BELEDİYE,Küçükçekmece
İSTASYON,Küçükçekmece
GÜMRÜK,Küçükçekmece
SEFAKÖY,Küçükçekmece
SÜVARİ CADDESİ,Küçükçekmece
BAĞLAR CADDESİ,Küçükçekmece
KOCATEPE,Küçükçekmece
EMSAL SK,Küçükçekmece
SULTAN MURAT,Küçükçekmece
Şen,Küçükçekmece
ANADOLU,Küçükçekmece
FEVZİ ÇAKMAK,Küçükçekmece
LEYLEK CADDESİ,Küçükçekmece
SÖĞÜTLÜÇEŞME,Küçükçekmece
YAVUZ SELİM,Küçükçekmece
SOĞUKSU,Küçükçekmece
YENİYOL,Küçükçekmece
ANTİKALAR,Küçükçekmece
KUYULU,Küçükçekmece
KUYULU,Küçükçekmece
MİMARSİNAN,Küçükçekmece
HÜRRİYET,Küçükçekmece
AKINCI,Küçükçekmece
TURGUT REİS,Küçükçekmece
PAZAR YOLU,Küçükçekmece
ATATÜRK CADDESİ,Küçükçekmece
EYÜP SULTAN BULVARI,Eyüpsultan
BAHARİYE,Eyüpsultan
ÇELTİK,Eyüpsultan
SİLAHTARAĞA CADDESİ,Eyüpsultan
HAZRETİ ÖMER CAMİİ,Arnavutköy
141. SOKAK,Sultangazi
DURSUNKÖY SAPAĞI,Arnavutköy
KAYNARCA YANYOL,Pendik
ÜMR. İZCİLİK KAMPI,Ümraniye
ERZİNCAN SOKAK,Ümraniye
DEVRAN SOKAK,Kartal
KÖY HİZMETLERİ,Kartal
SAKIZAĞACI,Kadıköy
SAKIZAĞACI,Kadıköy
MALTEPE SAHİL,Maltepe
HUZUR SOKAK,Maltepe
BERRAK SİTESİ,Ümraniye
BERRAK SİTESİ,Ümraniye
ALİ FUAT CEBESOY,Kağıthane
AKOM,Kağıthane
AKOM,Kağıthane
NURTEPE YOLU,Kağıthane
H.ETHEM ÜKTEM İÖO.,Kağıthane
NİŞANTAŞLAR,Kağıthane
NURTEPE,Eyüpsultan
GİRNE CADDESİ,Kağıthane
HİSAR EĞİTİMOKULLARI,Eyüpsultan
KARAYOLLARI 1.BL.MD.,Eyüpsultan
KARAYOLLARI 1.BL.MD.,Eyüpsultan
KUŞKONMAZ,Kağıthane
YEŞİLCE CADDESİ,Şişli
GÜR,Kağıthane
TOPKAPI,Zeytinburnu
MASKO 2,Başakşehir
ÇEŞME ALİ SK.,Bağcılar
NAMIK KEMAL CAD.,Sultangazi
FATİH CAD.,Güngören
MEHMET AKİF ERSOY CAD.,Esenler
ANAFARTALAR SK.,Sarıyer
İSTİNYE BAYIR CAD.,Sarıyer
HAVANTEPE SK.,Sarıyer
İSTİNYE BAYIRI CAD.,Sarıyer
Yoğurthane Cad.,Büyükçekmece
Sinan Sk.,Büyükçekmece
Sinan Sk.,Büyükçekmece
D-100 Karayolu,Büyükçekmece
Aydınlar Cad.,Büyükçekmece
Anı Sk.,Büyükçekmece
Bağlantı Yolu,Büyükçekmece
İstanbul Cad.,Büyükçekmece
İstanbul Cad.,Büyükçekmece
Güngörmüşler Cad.,Büyükçekmece
Cumhuriyet Cad.,Büyükçekmece
BAHARİYE CADDESİ,Küçükçekmece
4.SOKAK,Küçükçekmece
HÜRRİYET CADDESİ,Küçükçekmece
5.SOKAK,Küçükçekmece
117 SK.,Sarıyer
113 SK.,Sarıyer
ADNAN KAHVECİ CAD.,Sarıyer
BAYRAMOĞLU,Eyüpsultan
NATO EVLERİ,Eyüpsultan
HASDAL,Kağıthane
KEMER YOLU,Eyüpsultan
MÜZE,Üsküdar
ARNAVUTKÖY ESENTEPE,Arnavutköy
KEMER EVLERİ,Eyüpsultan
KEMER EVLERİ,Eyüpsultan
KARACAOĞLAN İÖO,Bağcılar
GÜNDOĞDU CAD.,Beykoz
YALI KONAKLARI,Eyüpsultan
PTT,Bağcılar
KAZIM KARABEKİR,Sarıyer
TARABYA BAYIRI,Sarıyer
SİTELER YOLU,Sarıyer
TARABYA YOLU,Sarıyer
DEDEMAN LİSESİ,Sarıyer
CEVİZLİ İSTASYON,Kartal
PARSELLER,Eyüpsultan
FİLİZ CAMİİ,Şişli
ZEKERİYAKÖY TRAFO,Sarıyer
KUZEY KONAKLARI,Sarıyer
ATAMAN EVLERİ,Sarıyer
YEŞİL VADİ,Sarıyer
KÖPRÜ,Sarıyer
KÖPRÜ,Sarıyer
ZEKERİYAKÖY,Sarıyer
YEŞİLCE MAH.,Kağıthane
VERİMER OKULU,Kağıthane
USKUMRUKÖY,Sarıyer
SALİHPAŞA,Sarıyer
GÖKKUŞAĞI KOLEJİ,Bahçelievler
ATEŞTUĞLA,Bağcılar
ATEŞTUĞLA,Bağcılar
DEVEKALDIRIM CAD.,Bağcılar
BAĞCILAR ÇİFTLİK,Bağcılar
NİŞANTAŞI,Beykoz
ÇAMLICA KIZ LİSESİ,Üsküdar
NECDET SEMKER İÖO.,Avcılar
ALTINŞEHİR MEZARLIĞI,Küçükçekmece
MASKO 1,Başakşehir
AHMET YESEVİ CADDESİ,Bahçelievler
DEMİRKAPI MAHALLESİ,Bağcılar
Ş.ÇAĞLAR MENGÜ İ.H.L,Maltepe
AVCILAR,Avcılar
KOZLU,Fatih
BELGRATKAPI,Fatih
BEŞTELSİZ,Zeytinburnu
Ş.EYÜP GÖNEN CAD.,Sultangazi
MİMAR SİNAN BULVARI,Sultangazi
İETT MEMUR EVLERİ,Sarıyer
POSTA YOLU,Sarıyer
KÖROĞLU CADDESİ,Kartal
ESENTEPE,Kartal
TANYERİ SOKAK,Kartal
ŞHT.ÜSTĞM.GÖKHAN YVZ,Kartal
ENGELLİLER EĞT.MRKZ.,Ümraniye
TUZLA SPOR,Tuzla
SİNAN SOKAK,Çekmeköy
HİSARKENT SİTESİ,Ataşehir
REFHAN TÜMER LİSESİ,Eyüpsultan
ALİBEYKÖY İTFAİYE,Eyüpsultan
SEFA KÖPRÜSÜ,Eyüpsultan
AÇIKYÜZ CADDESİ,Eyüpsultan
İGDAŞ,Sultangazi
KÜÇÜKKÖY İ.H.L.,Gaziosmanpaşa
AVRUPA KONUTLARI,Gaziosmanpaşa
KARAYOLLARI MAH.,Gaziosmanpaşa
MİLLET CADDESİ,Fatih
KEÇESUYU,Gaziosmanpaşa
SOĞANLIK METRO,Kartal
SAĞLIK OCAĞI,Üsküdar
F.S.MEHMET,Üsküdar
ALTUNİZADE,Üsküdar
MİLLET BAHÇESİ,Üsküdar
ŞEHİR PARKI CADDESİ,Bayrampaşa
ÖZKAN SOKAK,Üsküdar
PARKADA 3. KAPI,Bayrampaşa
ERENLER  CADDESİ,Pendik
EDİRNEKAPI TRAMVAY,Eyüpsultan
NİZAMİYE,Sancaktepe
KIRLANGIÇ SOKAK,Maltepe
YUNUS EMRE,Kartal
YUNUS EMRE,Kartal
ACISU,Ataşehir
ORMAN YOLU,Beykoz
GÜZELDERE,Beykoz
SELÇUKHAN CAD.,Sultanbeyli
KUBBE SAPAĞI,Sultanbeyli
HAL,Sultanbeyli
REVANİ SOKAK,Sultanbeyli
FİDANLIK,Beykoz
FATİH MAH.MERKEZ,Beykoz
DEMOKRASİ CAD.,Beykoz
MANDIRA CAD.,Beykoz
ÇAVUŞBAŞI,Beykoz
ŞEMSİPAŞA,Üsküdar
ÜSKÜDAR,Üsküdar
HORHOR,Üsküdar
BÜLBÜL DERESİ,Üsküdar
SETBAŞI,Üsküdar
BAĞLARBAŞI,Üsküdar
CAPİTOL,Üsküdar
CAPİTOL,Üsküdar
ALTUNİZADE,Üsküdar
ALTUNİZADE,Üsküdar
KARACAOĞLAN,Ataşehir
BANKALAR,Kadıköy
ZÜMRÜTEVLER İLKOKULU,Maltepe
K.ANADOLU LİSESİ,Kağıthane
İGDAŞ,Şişli
İGDAŞ,Şişli
SULAR İDARESİ,Kağıthane
ULUBATLI HASAN CAMİ,Eyüpsultan
ATATÜRK CADDESİ,Eyüpsultan
ATATÜRK CADDESİ,Eyüpsultan
MERKEZ CAMİİ,Kağıthane
MERKEZ CAMİİ,Sarıyer
HUZUR MAHALLESİ,Kağıthane
PINAR MAH. YOLU,Sarıyer
PINAR MAH. YOLU,Sarıyer
