Durak Adı,İlçe
EMEK,Maltepe
SOSYAL MESKENLER,Maltepe
SOSYAL MESKENLER,Maltepe
ESENKENT METRO,Maltepe
ESENKENT METRO,Maltepe
SUBAY EVLERİ,Maltepe
MUHTARLIK,Maltepe
NİŞANTEPE 2,Çekmeköy
TURGUT AYDIN İÖO,Sancaktepe
TÜLİN CADDESİ,Maltepe
SÜREYYAPAŞA HASTANE,Maltepe
SÜREYYAPAŞA HASTANE,Maltepe
RIHTIM,Kadıköy
MESLEK LİSESİ,Kartal
LİMAN YOLU,Beylikdüzü
LİMAN YOLU,Beylikdüzü
DÖKÜMCÜLER SİTESİ,Başakşehir
FATİH SANAYİ SİTESİ,Başakşehir
FATİH SANAYİ SİTESİ,Başakşehir
FATİH SANAYİ SİTESİ,Başakşehir
AYKOSAN,Başakşehir
MEZARLIK,Küçükçekmece
MEZARLIK,Küçükçekmece
ESENKENT CAMİİ,Esenyurt
KERESTECİLER SİTESİ,Başakşehir
AYMA KOOP.,Başakşehir
TORMAK SAN.SİT,Başakşehir
TORMAK SAN.SİT.,Başakşehir
SANAYİ,Başakşehir
CAHİT ZARİFOĞLU İÖO.,Başakşehir
CAHİT ZARİFOĞLU İÖO.,Başakşehir
BAŞAK ŞEHİR BULVARI,Başakşehir
B.ŞEHİR 1.ETAP CAMİİ,Başakşehir
KÜLTÜR TESİSLERİ,Başakşehir
TEKSTİLKENT,Esenler
G.NAKİPOĞLU İÖO,Esenler
YENİBOSNA KÖYALTI,Bahçelievler
YENİBOSNA KÖYALTI,Bahçelievler
KARTAL ÇEŞME,Eyüpsultan
KARTAL ÇEŞME,Eyüpsultan
ESENYURT,Maltepe
ORHANGAZİ,Maltepe
ORHANGAZİ,Maltepe
TUGAY YOLU,Maltepe
CEVİZLİ,Maltepe
CEVİZLİ,Maltepe
YÜCEL SİTESİ,Kartal
YÜCEL SİTESİ,Kartal
ORHANTEPE MAHALLESİ,Kartal
ATALAR MAHALLESİ,Kartal
ATALAR MAHALLESİ,Kartal
İSTASYON,Kartal
İSTANBUL CAD.,Silivri
Bilinmeyen,Silivri
Bilinmeyen,Silivri
BOĞAZKÖY,Başakşehir
KİPTAŞ 3,Silivri
Bilinmeyen,Silivri
Bilinmeyen,Çatalca
BİLGE KAĞAN SOKAK,Çatalca
Bilinmeyen,Çatalca
ESKİPINAR,Beylikdüzü
Mehmet Şükrü Cami,Başakşehir
Bilinmeyen,Beylikdüzü
Bilinmeyen,Beylikdüzü
Bilinmeyen,Beylikdüzü
YAKUPLU CADDESİ,Beylikdüzü
MİMSAN,Esenyurt
YAŞAR CİMİLİ CAMİ,Beylikdüzü
SU ÜRÜNLERİ,Beylikdüzü
Lale Sk.,Beylikdüzü
ÖZGECAN ASLAN KÜLTÜR MERKEZİ,Beylikdüzü
TEM ÜST GEÇİT,Üsküdar
ALİ RIZA BEY,Esenyurt
SULTAN AHMET CADDESİ,Esenyurt
YUNUS EMRE,Esenyurt
ÇAMLIK,Esenyurt
KÖY KAHVESİ,Beykoz
ÜMRANİYE BELEDİYE,Ümraniye
Minibüs Durağı,Kadıköy
Minibüs Durağı,Üsküdar
Minibüs Durağı,Üsküdar
Minibüs Durağı,Üsküdar
Minibüs Durağı,Üsküdar
Minibüs Durağı,Ataşehir
Minibüs Durağı,Ataşehir
Minibüs Durağı,Ataşehir
Minibüs Durağı,Ataşehir
Minibüs Durağı,Ataşehir
Minibüs Durağı,Maltepe
EMEK MAHALLESİ,Sancaktepe
YUŞA YOLU,Beykoz
BEY.BOĞ.İMAM HAT.LİS,Beykoz
KARTAL CEZAEVİ,Pendik
GÜL SOKAK,Pendik
GÜL SOKAK,Pendik
SİNPAŞ KORU KONUTL.,Ataşehir
ADIGÜZEL SİTESİ,Ataşehir
ADIGÜZEL SİTESİ,Ataşehir
BARAJ YOLU,Ataşehir
YUNUS EMRE İÖO,Ataşehir
DERİ SANAYİ,Tuzla
DERİ SANAYİ,Tuzla
YAYLA CADDESİ,Tuzla
YAYLA CADDESİ,Tuzla
MESCİD MH MUHTARLIĞI,Tuzla
ORHANLI İÖO,Tuzla
AKTEPE CADDESİ,Tuzla
MARMARA CADDESİ,Tuzla
MARMARA CADDESİ,Tuzla
DİNAR SOKAK,Kartal
SABA SOKAK,Kartal
SANCAKTEPE MEVKİİ,Silivri
"MİMAR S,NAN MAHALLES",Silivri
BÜYÜKÇEKMECE İSKİ,Büyükçekmece
YEŞİLKÖY PAZARI,Bakırköy
N.FAZIL KISAKÜREK,Güngören
NECİP FAZIL KISAKÜRE,Güngören
HALKALI İSTASYON,Küçükçekmece
HASBAHCE,Beylikdüzü
ÇANKAYA CADDESİ,Beylikdüzü
TELEKOM,Beylikdüzü
ÇEMENZAR,Kadıköy
İSTANBUL SGK,Bağcılar
OSMANGAZİ CAMİ,Bağcılar
DEVEKALDIRIM CAD.,Bağcılar
DEMİRKAPI MAHALLESİ,Bağcılar
İ.Ü. AVCILAR KAMPÜSÜ,Avcılar
İ.Ü. AVCILAR KAMPÜSÜ,Avcılar
MALAZGİRT İLK Ö.O,Bağcılar
MALAZGİRT İ.Ö.O,Bağcılar
KİRAZLI CADDESİ,Bağcılar
KİRAZLI CADDESİ,Bağcılar
BAĞCILAR BELEDİYESİ,Bağcılar
BAĞCILAR BELEDİYESİ,Bağcılar
LALE,Avcılar
GÖZTEPE MAHALLESİ,Bağcılar
MALTEPE,Maltepe
YILDIZBAKKAL,Maltepe
İNCİRLİ,Bakırköy
ŞİRİNEVLER,Bahçelievler
ŞİRİNEVLER,Bakırköy
KULELİ,Bahçelievler
İGS,Avcılar
TÜRKSAN,Avcılar
İ.Ü. AVCILAR KAMPÜSÜ,Avcılar
AVCILAR LİSESİ,Avcılar
SÖĞÜTLÜ YAYLA,Güngören
MARMARA CADDESİ,Güngören
GÜVEN MAHALLESİ,Güngören
Minibüs Durağı,Çekmeköy
Minibüs Durağı,Çekmeköy
Minibüs Durağı,Çekmeköy
Minibüs Durağı,Beykoz
Minibüs Durağı,Beykoz
Minibüs Durağı,Beykoz
Minibüs Durağı,Beykoz
Minibüs Durağı,Beykoz
Minibüs Durağı,Beykoz
Minibüs Durağı,Beykoz
Abdülhamit Cad.,Sancaktepe
Seyir Cad.-Kağıthane Belediyesi Şeker Parkı Yanı,Kağıthane
Minibüs Durağı,Beykoz
Minibüs Durağı,Beykoz
Minibüs Durağı,Beykoz
Minibüs Durağı,Beykoz
SAMANYOLU SK.,Beykoz
ÜNİVERSİTE CD.,Ümraniye
GAZİ TUFAN DURAK SK.,Beykoz
TEV ZAHİDE ZEHRA GARRİNG ORTAOKULU,Ümraniye
BAYKAL CD.,Ataşehir
Ege Sok.,Beykoz
Sadri Alışık Cad.,Beykoz
ŞİRİNEVLER,Üsküdar
ŞABANLI MAHALLESİ,Şile
ANADOLU HİSARI TİCARET MESLEK L.,Üsküdar
ÇİFTLİK YOLU,Beykoz
KORULUK,Beykoz
GÜL SOKAK,Beykoz
SALKIM SOKAK,Beykoz
BAHÇELİEVLER,Beykoz
Yeni Şile Devlet Hastanesi,Şile
DOLUNAY,Beykoz
MİNİATÜRK,Beyoğlu
FEVZİ ÇAKMAK CAMİİ,Eyüpsultan
FATİH MAHALLESİ,Bağcılar
ABDİ İPEKCİ CAD,Güngören
FATİH CADDESİ,Güngören
YEŞİLBAYIR KÖYÜ,Arnavutköy
KERİM ÇAVUŞPAŞA CAD.,Bahçelievler
FIRIN,Bahçelievler
SÜLEYMAN ŞAH ÜNİ,Tuzla
SÜLEYMAN ŞAH ÜNİ,Tuzla
BAŞARI OKULU,Kağıthane
POLİS LOJMANLARI,Kağıthane
4.LEVEND,Beşiktaş
TARABYA,Sarıyer
BEZİRGANBAHÇE İÖO,Küçükçekmece
MENDİREK,Sarıyer
REŞİTPAŞA,Sarıyer
FERAHEVLER YOLU,Sarıyer
B.BLOK,Sarıyer
VATAN,Sarıyer
İSTANBUL CADDESİ,Büyükçekmece
SAHİL YOLU,Sarıyer
ZİNCİRLİKUYU,Şişli
ZİNCİRLİKUYU,Beşiktaş
Z.KUYU-METROBÜS 2,Beşiktaş
ZİNCİRLİKUYU MBUS3,Şişli
BALMUMCU,Beşiktaş
DARPHANE,Beşiktaş
ERTUĞRUL SİTESİ,Beşiktaş
YILDIZ TEK.ÜNV.,Beşiktaş
ÇAMÇEŞME PARKI,Pendik
TAVUKÇUYOLU CADDESİ,Ümraniye
BOSTANLIK,Pendik
TÇMB TEK.END.MES.LİS,Ümraniye
ORHANTEPE MAHALLESİ,Kartal
SAADATDERE MAH.,Avcılar
SERBEST BÖLGE,Çatalca
MURATÇEŞME SAĞ.OCAĞI,Büyükçekmece
ET KOMBİNASI,Arnavutköy
ÇANGALÇEŞME YOLU,Arnavutköy
PAÇACI,Pendik
ATA SOKAK,Pendik
ORTAÇEŞME,Beykoz
AKDAĞ CADDESİ,Ümraniye
HACI ÖMER MEYDANI,Sarıyer
BAĞLAR MAHALLESİ,Bağcılar
GÜL,Bağcılar
YALÇIN SOKAK,Pendik
BOTAŞ,Pendik
SAFAŞ,Kartal
AŞEVİ,Ataşehir
ÇİÇEK KENT,Kartal
NURİBEY,Üsküdar
KUBİLAY,Kağıthane
GÜLTEPE CAMİİ,Kağıthane
İSTİNYE PARK,Sarıyer
GÜZELYAYLA CADDESİ,Eyüpsultan
OBA EVLERİ,Esenyurt
ERDOĞANLAR İÖO,Esenyurt
1000. SOKAK,Esenyurt
1000. SOKAK,Esenyurt
F.S.MEHMET CADDESİ,Esenyurt
SALI PAZARI,Esenyurt
SİVAS KONGRE CADDESİ,Esenyurt
1527. SOKAK,Esenyurt
FATİH SULTAN MEHMET,Beylikdüzü
ERZURUM KONGRE CAD.,Esenyurt
ESENYURT ÖRNEK MAH.,Esenyurt
ESENYURT ÖRNEK MAH.,Esenyurt
SEYİT ONBAŞI,Avcılar
CUMHURİYET CADDESİ,Esenyurt
CUMHURİYET CADDESİ,Esenyurt
YILDIZ TEK.ÜNV.,Beşiktaş
BARBAROS BULVARI,Beşiktaş
F.S.M.ERKEK ÖĞRENCİ,Güngören
SAĞLIK OCAĞI,Esenler
SARAY SOKAK,Bağcılar
AVCILAR SAHİL YOLU,Avcılar
HALI SAHA,Beylikdüzü
YEŞİLKENT MAHALLESİ,Esenyurt
YEŞİLKENT MAHALLESİ,Esenyurt
FİYAPI,Esenyurt
FİYAPI,Esenyurt
PARK EVLER,Beylikdüzü
ESENLER,Pendik
BEYAZ GÜL,Bahçelievler
80.YIL İ.Ö.O,Küçükçekmece
SANCAKLI CADDESİ,Güngören
GÜNEŞ CADDESİ,Sultanbeyli
MİMAR SİNAN CAD.,Pendik
F.S.M. HASTANESİ,Kadıköy
BAYAR CADDESİ,Kadıköy
ÜSKÜDAR CADDESİ,Kadıköy
TALEBE YURDU,Pendik
KIBRIS SOKAK,Pendik
TAŞLIBAYIR,Pendik
TEPEKÖY,Beykoz
SOĞUKSU MAH.,Beykoz
BEYKOZ KONAKLARI,Beykoz
ÇİFTLİK,Beykoz
GÜLBAHÇE,Beykoz
PERPA 1,Şişli
OKMEYDANI DEREYOLU,Şişli
OKMEYDANI EĞT.HAST4,Şişli
İSKİ,Sarıyer
GÜNAYDIN SOKAK,Sarıyer
KOCATAŞ CAMİİ,Sarıyer
60.YIL S.GAZİ İLK ÖĞ,Sancaktepe
ALİ FUAT CEBESOY İÖO,Ataşehir
ÜMR.BLD.DESTEK GRJ.,Ümraniye
ESEN SOKAK,Esenyurt
KIRAÇ 2,Esenyurt
STAD SOKAK,Sancaktepe
İETT LOJMANLARI,Ataşehir
KAYIŞDAĞI İLKOKULU,Ataşehir
SİNAN REİS,Ataşehir
ATAŞEHİR,Ataşehir
BARIŞ MAHALLESİ,Beylikdüzü
TERAS EVLER,Beylikdüzü
KONAKLI,Bakırköy
SARUHAN SOKAK,Bakırköy
HAVUZLU BAHÇE,Bakırköy
GÜLSUYU METRO İST.,Maltepe
İSTAÇ,Şişli
KADINLAR ÇEŞMESİ,Beyoğlu
ATATÜRK BULVARI,Eyüpsultan
KAPTAN SOKAK,Maltepe
ACISU,Ataşehir
SELÇUKHAN CAD.,Sultanbeyli
DEMOKRASİ CAD.,Beykoz
ÜSKÜDAR,Üsküdar
ONİKİLER CAMİİ,Kadıköy
TANRIÖVER CAMİİ,Kağıthane
TEKSTİL MESLEK LİSES,Büyükçekmece
ESKİ SANAYİ,Silivri
ÇARŞI (HTY48),Büyükçekmece
TEPE,Esenyurt
SEÇKİNLER SİTESİ,Sultangazi
SİLİVRİ OTOGAR,Silivri
SAZLIBOSNA YOLU,Arnavutköy
HÜRRİYET TEPESİ,Şişli
MENDERES CAD.,Gaziosmanpaşa
KİRAZLIK,Sarıyer
11. CADDE,Esenyurt
TUĞRA PARKI,Bahçelievler
TUĞRA PARKI,Bahçelievler
İMAM AZAM CAMİİ,Bahçelievler
YALÇIN KOREJ CADDESİ,Bağcılar
SİLAHTAR,Eyüpsultan
ÇOBANÇEŞME,Eyüpsultan
FABRİKALAR,Eyüpsultan
AKINCILAR MAHALLESİ,Güngören
ANADOLU CADDESİ,Beylikdüzü
PARK EVLER,Beylikdüzü
SİTELER,Beylikdüzü
ADNAN MENDERES CAD.,Beylikdüzü
HARAMİDERE,Beylikdüzü
HARAMİDERE SAN.SİT.,Beylikdüzü
HÜRRİYET CADDESİ,Beylikdüzü
HZ. HAMZA CAMİİ,Beylikdüzü
CİHANGİR MAHALLESİ,Avcılar
KAVAKLI KÖYÜ,Beylikdüzü
MUYA,Beylikdüzü
YENİEVLER,Beylikdüzü
ATAKENT,Beylikdüzü
KAVAKLI YOLU,Beylikdüzü
KAVAKLI YOLU,Beylikdüzü
F.S.MEHMET CADDESİ,Beylikdüzü
CINAREVLERİ,Beylikdüzü
FEVZİ ÇAKMAK CAMİİ,Eyüpsultan
SİLAHTAR,Eyüpsultan
ARAPHAN,Eyüpsultan
ARAPHAN,Eyüpsultan
NAMIK KEMAL,Eyüpsultan
NAMIK KEMAL,Eyüpsultan
ÇOBANÇEŞME,Eyüpsultan
BELEDİYE EVLERİ,Eyüpsultan
FABRİKALAR,Eyüpsultan
50 YIL CADDESİ,Bayrampaşa
50 YIL CADDESİ,Bayrampaşa
İSTANBUL CADDESİ,Beylikdüzü
İSTANBUL CADDESİ,Büyükçekmece
EKŞİOĞLU KONUTLARI,Beylikdüzü
EKŞİOĞLU KONUTLARI,Beylikdüzü
ANADOLU CADDESİ,Beylikdüzü
KUŞDİLİ CADDESİ,Beylikdüzü
KUŞDİLİ CADDESİ,Beylikdüzü
ECZANE,Beylikdüzü
OSMANLI CADDESİ,Beylikdüzü
OSMANLI CADDESİ,Beylikdüzü
M.AKİF ERSOY CAD.,Silivri
BASINKENT,Büyükçekmece
BASINKENT,Büyükçekmece
FATİH MAHALLESİ,Büyükçekmece
SAN.TİC.MÜD.,Başakşehir
KİREMİTÇİ DERESİ,Beykoz
HALİL RÜŞTÜ İÖOKL.,Üsküdar
GÖZTEPE,Kadıköy
MERDİVENKÖY MAHALESİ,Kadıköy
TEKNİK LİSE,Tuzla
EVLİYA ÇELEBİ CAMİİ,Tuzla
DEĞİRMEN ÇAYIRI,Şile
İSKİ,Sarıyer
PINAR MAHALLESİ,Sarıyer
İSTİNYE BAYIRI,Sarıyer
BAYRAMPAŞA METRO,Eyüpsultan
ETHEMEFENDİ,Kadıköy
SPOR TESİSLERİ,Sarıyer
GÜMÜŞDERE,Sarıyer
KİLYOS MEZARLIĞI,Sarıyer
KİLYOS YOLU,Sarıyer
USKUMRUKÖY YOLU,Sarıyer
GAZİNOLAR,Sarıyer
DEMİRCİKÖY YOLU,Sarıyer
NALBANTTEPE,Sarıyer
İKİZEVLER,Büyükçekmece
DR.SADIK AHMET CADDE,Büyükçekmece
ADALET SOKAK,Büyükçekmece
ATATÜRK CADDESİ,Büyükçekmece
SAHİL YOLU,Büyükçekmece
AKALAN ÇIKIŞI,Çatalca
ECZANE,Beylikdüzü
B.B.SPOR TESİSLERİ,Bayrampaşa
26.DURAK,Sultangazi
TEPEBAŞI,Gaziosmanpaşa
YILDIZTABYA,Gaziosmanpaşa
TOPKAPI ZEYTİNBURNU,Fatih
TEPE,Eyüpsultan
TÜRK İSVEÇ İÖO,Esenler
TÜRK İSVEÇ İÖO,Esenler
YARIMBURGAZYOLU,Başakşehir
YEŞİLPARK,Başakşehir
YEŞİLPARK,Başakşehir
CENGİZ TOPEL CADDESİ,Beylikdüzü
KOCASİNAN İ.Ö.O,Bahçelievler
KAZIM KARABEKİR CAD.,Esenler
İSTOÇ,Bağcılar
HASTANE,Küçükçekmece
SEMT POLİKİNİLİĞİ,Bahçelievler
SEMT POLİKİNİLİĞİ,Bahçelievler
BİZİMKENT,Beylikdüzü
A KISMI,Beylikdüzü
YEŞİLIRMAK SOKAK,Bağcılar
KINALI ÜSTGEÇİT,Silivri
KINALI ÜSTGEÇİT,Silivri
KINALITEPE SİTESİ,Silivri
GÜMÜŞ KUMSAL,Silivri
MAVİ YELKEN,Silivri
MAVİ YELKEN,Silivri
ATATÜRK MAHALLESİ,Büyükçekmece
ANITPARK,Büyükçekmece
KARANFİL,Başakşehir
AKALANKÖYÜ CAMMİ,Çatalca
İSTANBUL CADDESİ,Çatalca
SU DEPOSU,Çatalca
HAKİŞ SİTESİ,Pendik
TOKİ AYAZMA İHOO,Başakşehir
PAZAR YOLU,Küçükçekmece
SELİMPAŞA OTOBAN,Silivri
KARŞIYAKA,Başakşehir
CUMHURİYET CADDESİ,Esenyurt
PARK,Bahçelievler
ÖĞRETMENLER PARKI,Bahçelievler
HASTANE YOLU,Küçükçekmece
FINDIKLI GEÇİT,Sarıyer
KISIRKAYA,Sarıyer
SULAR CADDESİ,Sarıyer
MEHPARE SOKAK,Kadıköy
BLOKLAR,Kadıköy
KÜÇÜKBAKKALKÖY,Ataşehir
FEVZİPAŞA,Ataşehir
GÜMRÜK BÖLGE MD.LÜĞÜ,Ataşehir
OBALAR,Ataşehir
NECİP FAZIL BULVARI,Ataşehir
B.BAKKALKÖY SP.,Sancaktepe
TÜL FABRİKASI,Beykoz
TOYGAR CAMİİ,Beykoz
YENİDOĞAN MEZARLIK,Sancaktepe
ALT GEÇİT,Pendik
SARIKENT SİTESİ,Sultangazi
İSTİNYE MERKEZ,Sarıyer
TARIM SOKAK,Kartal
TÜCCARBAŞI,Kadıköy
AYŞEKADIN,Kadıköy
ŞENESENEVLER,Kadıköy
BOSTANCI GÖSTERİ MRK,Kadıköy
MALTEPE SGK,Maltepe
ÇINAR,Maltepe
MİMAR SİNAN,Tuzla
DENİZER CADDESİ,Kartal
BİNGÖL SİTESİ,Kartal
YEŞİLPINAR ÇEŞME,Eyüpsultan
MERKEZ CAMİİ,Eyüpsultan
NURTEPE,Kağıthane
NURTEPE YOLU,Kağıthane
YENİBOSNA BEŞYOL,Bahçelievler
BAĞLARALTI,Küçükçekmece
BAĞLARALTI,Küçükçekmece
BİRLİK MAHALLESİ,Esenler
ÇINARYOLU,Küçükçekmece
MERHABA,Bahçelievler
TALATPAŞA CAD.,Esenyurt
ANAFARTALAR,Bakırköy
GAZİ EVRENOS CADDESİ,Bakırköy
ZİYA ERDEM,Bakırköy
ÖMER.DÜRÜK.CAMİİ,Bakırköy
ATAKÖY 4.KISIM,Bakırköy
İMAM MUSTAFA EFENDİ,Bahçelievler
15.BÖLGE,Başakşehir
İSTOÇ ÇEVRE YOLU,Bağcılar
ŞİŞHANE 6,Beyoğlu
ZUHURATBABA,Bakırköy
ZİRAAT ODASI,Bakırköy
BAYRAKTAR BULVARI,Ümraniye
BAYRAKTAR BULVARI,Ümraniye
HATBOYU CADDESİ,Ümraniye
HATBOYU CADDESİ,Ümraniye
GÜRSEL SOKAK,Ümraniye
BAHÇELİEVLER MAH.,Üsküdar
F.S. MEHMET CADDESİ,Pendik
F.S. MEHMET CADDESİ,Pendik
YENGEÇ SOKAK,Pendik
MİLLİ EĞİTİM VAKFI,Pendik
ORHANGAZİ,Pendik
MEDİNE CAMİİ,Pendik
G.ZEKİ OBDAN İÖO.,Pendik
KEMİKLİ DERE,Pendik
ORUÇ REİS SOKAK,Kartal
ÖZTÜRK SOKAK,Pendik
VATAN CADDESİ,Pendik
H.MANDERE MESLEK LİS,Pendik
DOLUNAY SOKAK,Sancaktepe
ABİTLER,Sancaktepe
PAZARYOLU CADDESİ,Sancaktepe
PAZAR YOLU CADDESİ,Sancaktepe
VEYSEL KARANİ,Sancaktepe
VEYSEL KARANİ,Sancaktepe
TANDOĞAN CADDESİ,Pendik
BAŞAKŞEHİR YOLU,Başakşehir
BAĞCILAR CADDESİ,Bahçelievler
ESENLER BELEDİYESİ,Esenler
12.SOKAK,Esenler
FATİH CADDESİ,Esenler
FATİH MAHALLESİ,Esenler
AMBARLI KAVŞAĞI,Avcılar
ÜSTGEÇİT,Büyükçekmece
ÜSTGECİT,Büyükçekmece
GÜRPINAR,Beylikdüzü
PAPATYA,Bağcılar
FEVZİ ÇAKMAK MAH.,Bağcılar
İBRAHİM ETHEM CAMİİ,Esenler
OSMANGAZİ CADDESİ,Esenler
OSMANGAZİ CADDESİ,Esenler
OSMANGAZİ PARKI,Bağcılar
OSMANGAZİ PARKI,Esenler
YÜZYIL KÖPRÜSÜ,Bağcılar
YÜZYIL KÖPRÜSÜ,Esenler
YÜZYIL KÖPRÜSÜ,Esenler
YÜZYIL KÖPRÜSÜ,Esenler
BARBOROS CADDESİ,Bağcılar
ZİYA GÖKALP İÖO.,Esenler
YENİ CAMİİ,Esenler
YÜZYIL,Esenler
OSMANKÖY,Şile
DENİZLİ KÖYÜ SAP.,Şile
ÜMRANİYE CEZAEVİ,Beykoz
YOLAĞZI,Çekmeköy
ATATÜRK CAD.,Çekmeköy
PAZAR YERİ,Çekmeköy
KEMERDERE,Ümraniye
K.DERE KÖP. KAVŞAK,Ümraniye
K.DERE KÖP.KAVŞAK,Ümraniye
SANCAKTEPE KAVŞAĞI,Çekmeköy
SANCAKTEPE KAVŞAĞI,Çekmeköy
ÇAMLIK,Çekmeköy
GÜLBAHÇE SOK.,Sancaktepe
MECLİS MAH.,Sancaktepe
MECLİS MAH.,Sancaktepe
ARA SOKAK,Sancaktepe
GÜMÜŞÇÜ SOKAK,Kadıköy
Minibüs Durağı,Sultanbeyli
Minibüs Durağı,Sultanbeyli
Minibüs Durağı,Sultanbeyli
Minibüs Durağı,Sultanbeyli
Minibüs Durağı,Ümraniye
Minibüs Durağı,Ümraniye
Minibüs Durağı,Ümraniye
Minibüs Durağı,Ümraniye
Minibüs Durağı,Ümraniye
Minibüs Durağı,Ümraniye
Minibüs Durağı,Ümraniye
Minibüs Durağı,Ümraniye
Minibüs Durağı,Ümraniye
Minibüs Durağı,Ümraniye
Minibüs Durağı,Sultanbeyli
Minibüs Durağı,Sultanbeyli
TEST,Bakırköy
ULUBATLI HASAN SOKAK,Ümraniye
AKSOY SOKAK,Ümraniye
ANADOLU CAD.,Ümraniye
Tunaboyu Sk.,Ümraniye
ÜMRANİYE SANTRAL,Ümraniye
OKUL SK.,Ataşehir
KIBRIS CD.,Ataşehir
MALAZGİRT CD.,Ataşehir
GAZİ ATATÜRK CD.,Ataşehir
KÜÇÜK CEYLAN SK.,Ataşehir
EGEMENLİK SOKAK,Ataşehir
ALEMDAR SOKAK,Ümraniye
SAATÇİ SOKAK,Ümraniye
POLİGON CADDESİ,Ümraniye
SEZER SOKAK,Ümraniye
ÇENGELDERE,Beykoz
ÇENGELDERE MER CAMİ,Beykoz
LALEZAR SOKAK,Beykoz
ÇENGELDERE CAD.,Beykoz
BEYKOZ ANADOLU LİS.,Beykoz
GÜNEŞLİ CADDESİ,Beykoz
YEŞİL CAMİİ,Beykoz
SEYİTGAZİ SOKAK,Sultanbeyli
ÇAYIRHAN SOKAK,Sultanbeyli
BAHÇELER,Ataşehir
BAHÇELER,Kadıköy
İSTASYON YOLU,Maltepe
ÇUBUKLU VADİ,Pendik
VELİBABA MAHALLESİ,Pendik
VELİBABA İ.Ö.O,Pendik
VELİBABA İ.Ö.O,Pendik
YUNUSEMRE CAMİİ,Pendik
YUNUSEMRE CAMİİ,Pendik
KIRKLAR,Üsküdar
KIRKLAR,Üsküdar
DEVLET SU İŞLERİ,Üsküdar
DEVLET SU İŞLERİ,Üsküdar
KAİNAT SOKAK,Üsküdar
ÜNALAN MH.,Üsküdar
PAZAR YERİ,Üsküdar
EROL SOKAK,Ümraniye
SANAYİ CAD.,Ümraniye
ÜMRANİYE TELEKOM,Ümraniye
ÖZANAKENT,Üsküdar
İDEALTEPE,Maltepe
İDEALTEPE,Maltepe
DOĞUEVLER,Maltepe
DOĞUEVLER,Maltepe
ÜÇEVLER,Maltepe
YÜZEVLER,Maltepe
YÜZEVLER,Maltepe
MALTEPE BELEDİYESİ,Maltepe
MALTEPE NÜFUS MÜD.,Maltepe
MALTEPE NÜFUS MÜD.,Maltepe
MALTEPE,Maltepe
İSTASYON YOLU,Maltepe
İSTASYON YOLU,Maltepe
MASLAKÇEŞME,Küçükçekmece
SEFAKÖY LİSESİ,Küçükçekmece
GÜLTEPE MAHALLESİ,Küçükçekmece
DEPO,Arnavutköy
AŞIK VEYSEL İÖO,Arnavutköy
AŞIK VEYSEL İÖO,Arnavutköy
GÖKHAN SOKAK,Kartal
DEMİR SOKAK ÇIKMAZI,Kartal
YAMAÇ SOKAK,Kartal
DALYAN SOKAK,Kartal
BİRLİK SOKAK,Kartal
EMNİYET SOKAK,Kartal
ÇINARÜSTÜ SOKAK,Kartal
AKŞEMSETTİN,Sultanbeyli
HALİT BİN VELİT CAMİ,Çekmeköy
HALİT BİN VELİT CAMİ,Çekmeköy
SEYMENLER,Çekmeköy
SULTANÇİFTLİĞİ,Çekmeköy
SULTANÇİFTLİĞİ,Çekmeköy
TAŞDELEN,Çekmeköy
YENİDOĞAN SAPAĞI,Çekmeköy
YENİDOĞAN SAPAĞI,Çekmeköy
BENZİNLİK,Çekmeköy
ÇİFTLİK CAD.,Beykoz
AKÇANSA,Büyükçekmece
ADALET SOKAK,Esenyurt
İNÖNÜ CADDESİ,Esenyurt
MANDIRA CADDESİ,Kadıköy
KÖPRÜBAŞI,Kadıköy
MENGÜ,Maltepe
FEVZİPAŞA,Kadıköy
HÜRRİYET,Kadıköy
ORMAN SOKAK,Kartal
GÜZELEVLER,Kartal
GÜZELEVLER,Kartal
AYDIN CADDESİ,Maltepe
İMRANLI,Maltepe
KURTKÖY İÖO,Pendik
KURTKÖY İÖO,Pendik
BENZİNCİ,Pendik
BENZİNCİ,Pendik
TEPEÖREN YOLU,Tuzla
PINAR SİTESİ,Ataşehir
PAŞABAHÇE,Beykoz
BEYKOZ DEVLET HAST.,Beykoz
BEYKOZ DEVLET HAST.,Beykoz
ŞİŞE CAM FAB.,Beykoz
SU ÜRÜNLERİ,Beykoz
BEYKOZ BELEDİYESİ,Beykoz
BEYKOZ KORUSU,Beykoz
BEYKOZ,Beykoz
BEYKOZ,Beykoz
BEYKOZ,Beykoz
YALIKÖY,Beykoz
YALIKÖY,Beykoz
YAZIMANAYIR KÖYÜ,Şile
SEVİŞLİ SAPAĞI,Şile
58.BULVAR,Zeytinburnu
DENİZATI SİTELERİ,Zeytinburnu
DENİZATI SİTELERİ,Zeytinburnu
ZEYTİNBURNU TEK,Zeytinburnu
MUSTAFA KEMAL,Arnavutköy
ATEŞTUĞLA,Bağcılar
ATEŞTUĞLA,Bağcılar
ATEŞTUĞLA,Bağcılar
ATEŞTUĞLA,Bağcılar
DR.C.FEVZİYE İÖO,Bağcılar
DR.C.FEVZİYE İÖO,Bağcılar
MERHABA,Bahçelievler
VELİOĞLU CADDESİ,Bağcılar
PENDİK YHT İSTASYONU,Pendik
BİRLİK,Şile
SAHİLKÖY,Şile
