ILCE,alan_metrekare,Nufus,Minibus_Durak_Sayisi,Rayli_Istasyon_Sayisi,Taksi_Durak_Sayisi,Ortalama_AQI,Yeni_Yapilacak_Yesil_Alan_GA_W1_0.5_W2_0.5,Toplam_Yesil_Alan_GA_W1_0.5_W2_0.5,Yeni_Yapilacak_Yesil_Alan_PSO_W1_0.5_W2_0.5,Toplam_Yesil_Alan_PSO_W1_0.5_W2_0.5
EYÜPSULTAN,7189930.516470695,420706.0,300,25,16,37.04040519007512,6.646251773266282e-10,7189930.516470696,0.0,7189930.516470695
FATİH,1857859.933628624,354472.0,14,27,32,38.212086659064994,5.72086918410798e-11,1857859.933628624,0.0,1857859.933628624
GAZİOSMANPAŞA,204094.60721775488,479931.0,180,8,7,37.04040519007512,171226.67078994698,375321.27800770185,171226.6707899472,375321.2780077021
GÜNGÖREN,29380.789241699124,264831.0,144,6,7,36.60939118425596,24649.229078697517,54030.018320396644,24649.22907869755,54030.01832039667
KADIKÖY,860383.2664371255,462189.0,175,27,62,28.971953027020863,53197.38266643796,913580.6491035635,53197.38266643815,913580.6491035636
KARTAL,1406194.225819459,475859.0,266,9,29,36.235408116735066,3.761017315033329e-10,1406194.2258194594,0.0,1406194.225819459
KAĞITHANE,1598947.6567764024,444820.0,182,5,16,46.7515393386545,6.503475627661437e-10,1598947.656776403,0.0,1598947.6567764024
KÜÇÜKÇEKMECE,1646774.3243354743,789033.0,312,18,14,65.46188902814174,7.654881737087942e-10,1646774.324335475,0.0,1646774.3243354743
MALTEPE,2130674.198635165,524921.0,228,10,12,36.235408116735066,1.490879069771619e-09,2130674.1986351665,0.0,2130674.198635165
PENDİK,2660127.494007945,749356.0,396,17,18,36.235408116735066,5.6938820191525066e-11,2660127.494007945,0.0,2660127.494007945
SANCAKTEPE,851191.7589597908,502077.0,206,6,5,43.09060899260103,127154.07061015702,978345.8295699478,127154.07061015749,978345.8295699483
SARIYER,2743974.6658907183,342582.0,335,7,32,26.711909353905497,2.336024626843919e-10,2743974.665890719,0.0,2743974.6658907183
SULTANBEYLİ,711311.9838774118,369193.0,147,2,5,43.09060899260103,22506.020664584554,733818.0045419964,22506.020664584572,733818.0045419964
SULTANGAZİ,560013.4265267146,532601.0,143,6,4,48.57816540477577,419951.8986256268,979965.3251523414,419951.89862562827,979965.3251523429
SİLİVRİ,4064999.079093968,232156.0,264,0,7,39.4643751422718,1.8416206276721922e-10,4064999.079093968,0.0,4064999.079093968
TUZLA,3153689.0698800897,301400.0,241,4,12,41.09867971773276,3.0498839358194627e-10,3153689.06988009,0.0,3153689.0698800897
ZEYTİNBURNU,789642.239856637,278344.0,195,8,14,38.212086659064994,4.4625512954253633e-10,789642.2398566374,0.0,789642.239856637
ÇATALCA,1088806.6011754582,80399.0,80,0,1,29.73571591167767,4.761132889325338e-10,1088806.6011754586,0.0,1088806.6011754582
ÇEKMEKÖY,545283.4216504643,306739.0,96,1,5,29.7875014280818,56688.619176332206,601972.0408267966,56688.619176332366,601972.0408267967
ÜMRANİYE,1448077.7828947406,727819.0,389,20,11,29.7875014280818,6284.638438172214,1454362.4213329128,6284.638438172308,1454362.421332913
ÜSKÜDAR,2357259.262471572,512981.0,296,9,33,25.062542720437456,4.491380302364932e-10,2357259.2624715725,0.0,2357259.262471572
ŞİLE,347167.07496639347,48936.0,153,0,0,43.09060899260103,1.4967800343617796e-10,347167.07496639364,0.0,347167.07496639347
ŞİŞLİ,354780.26493224973,263063.0,68,9,33,28.04237867395762,142435.85572093402,497216.1206531838,142435.85572093455,497216.12065318425
