ILCE,alan_metrekare,Nufus,Minibus_Durak_Sayisi,Rayli_Istasyon_Sayisi,Taksi_Durak_Sayisi,Ortalama_AQI,Ti_raw,Yeni_Yapilacak_Yesil_Alan_GA,Toplam_Yesil_Alan_GA,Yeni_Yapilacak_Yesil_Alan_PSO,Toplam_Yesil_Alan_PSO
ESENYURT,1190145.785879942,988369.0,277,3,12,39.4643751422718,295,101746.22698119274,1291892.0128611347,595072.892939971,1785218.678819913
EYÜPSULTAN,7189930.516470695,420706.0,300,25,16,37.04040519007512,366,241.89415430683786,7190172.410625001,0.0,7189930.516470695
FATİH,1857859.933628624,354472.0,14,27,32,38.212086659064994,100,2611.080611572945,1860471.014240197,0.0,1857859.933628624
GAZİOSMANPAŞA,204094.60721775488,479931.0,180,8,7,37.04040519007512,203,101255.9564010413,305350.5636187962,0.0,204094.60721775488
GÜNGÖREN,29380.789241699124,264831.0,144,6,7,36.60939118425596,163,14690.258705773515,44071.04794747264,14690.394620849562,44071.183862548685
KADIKÖY,860383.2664371255,462189.0,175,27,62,28.971953027020863,291,114401.84493368005,974785.1113708055,0.0,860383.2664371255
KARTAL,1406194.225819459,475859.0,266,9,29,36.235408116735066,313,111181.85100295107,1517376.07682241,0.0,1406194.225819459
KAĞITHANE,1598947.6567764024,444820.0,182,5,16,46.7515393386545,208,25600.970079454324,1624548.6268558567,799473.8283882012,2398421.4851646037
KÜÇÜKÇEKMECE,1646774.3243354743,789033.0,312,18,14,65.46188902814174,362,326532.66629907244,1973306.9906345466,434164.39226663846,2080938.7166021126
MALTEPE,2130674.198635165,524921.0,228,10,12,36.235408116735066,260,15686.10793523543,2146360.3065704005,0.0,2130674.198635165
PENDİK,2660127.494007945,749356.0,396,17,18,36.235408116735066,448,16394.1218213044,2676521.6158292494,0.0,2660127.494007945
SANCAKTEPE,851191.7589597908,502077.0,206,6,5,43.09060899260103,223,223112.05081975381,1074303.8097795446,0.0,851191.7589597908
SARIYER,2743974.6658907183,342582.0,335,7,32,26.711909353905497,381,4012.4353432062553,2747987.1012339247,0.0,2743974.6658907183
SULTANBEYLİ,711311.9838774118,369193.0,147,2,5,43.09060899260103,156,70012.0713213469,781324.0551987587,355655.9919387059,1066967.9758161176
SULTANGAZİ,560013.4265267146,532601.0,143,6,4,48.57816540477577,159,168382.8758360544,728396.3023627689,0.0,560013.4265267146
SİLİVRİ,4064999.079093968,232156.0,264,0,7,39.4643751422718,271,371.7109048484905,4065370.7899988163,0.0,4064999.079093968
TUZLA,3153689.0698800897,301400.0,241,4,12,41.09867971773276,261,271.42558772049904,3153960.4954678104,0.0,3153689.0698800897
ZEYTİNBURNU,789642.239856637,278344.0,195,8,14,38.212086659064994,225,24604.275155653653,814246.5150122906,0.0,789642.239856637
ÇATALCA,1088806.6011754582,80399.0,80,0,1,29.73571591167767,81,688.1417777074882,1089494.7429531657,0.0,1088806.6011754582
ÇEKMEKÖY,545283.4216504643,306739.0,96,1,5,29.7875014280818,103,140058.0810910301,685341.5027414944,272641.71082523215,817925.1324756965
ÜMRANİYE,1448077.7828947406,727819.0,389,20,11,29.7875014280818,440,315753.4904320717,1763831.2733268123,0.0,1448077.7828947406
ÜSKÜDAR,2357259.262471572,512981.0,296,9,33,25.062542720437456,347,18173.3564549485,2375432.6189265205,0.0,2357259.262471572
ŞİLE,347167.07496639347,48936.0,153,0,0,43.09060899260103,153,106061.22370529379,453228.29867168725,0.0,347167.07496639347
ŞİŞLİ,354780.26493224973,263063.0,68,9,33,28.04237867395762,119,73751.45264651914,428531.71757876885,0.0,354780.26493224973
