Durak Adı,İlçe
YENI LEVENT OYAK TAKSI DURAĞı,Beşiktaş
ÜSKÜDAR HAREM İDO İSKELE ÖNÜ,Üsküdar
POL TAKSİ DURAĞI,Şişli
KÖŞK TAKSİ IHLAMUR,Beşiktaş
ÖNER TAKSİ DURAĞI,Beşiktaş
İSPARK BEŞİKTAŞ LEVENT ÇARŞI CADDESİ,Beşiktaş
İSPARK - ÜSKÜDAR İSKELE ÖNÜ,Üsküdar
AKASYA TAKSİ DURAĞI,Sarıyer
LEVENT TAKSİ (BEŞİKTAŞ),Beşiktaş
LEVAZIM SİTESİ TAKSİ,Beşiktaş
3.LEVENT SEVGİ TAKSİ DURAĞI,Beşiktaş
BALON TESİSİ YANI UMUMA AÇIK TAKSİ DURAĞI,Kadıköy
BEŞİKTAŞ BASIN TAKSİ DURAĞI,Beşiktaş
HAYDARPAŞA TAKSİ DURAĞI,Kadıköy
MAYADROM TAKSİ DURAĞI,Beşiktaş
İSPARK RIHTIM 2,Kadıköy
İSPARK - BEYOĞLU SIRASELVİLER CADDESİ,Beyoğlu
İSPARK - BEYOĞLU CİHANGİR KATLI OTOPARK ÖNÜ,Beyoğlu
İSPARK-BEYOĞLU,Beyoğlu
METE CADDESİ UMUMA AÇIK TAKSİ DURAĞI,Beyoğlu
İSPARK ŞİŞLİ,Şişli
GRAND HAYATT TAKSİ,Şişli
MECLİSİ MEBUSAN CADDESİ UMUMA AÇIK TAKSİ DURAĞI,Beyoğlu
KABATAŞ İDO İSKELESİ UMUMA AÇIK TAKSİ DURAĞI,Beyoğlu
İSPARK DOLMABAHÇE,Şişli
İSPARK KABATAŞ İDO,Beyoğlu
KABATAŞ İDO İSKELESİ 2 UMUMA AÇIK TAKSİ DURAĞI,Beyoğlu
İSPARK MAÇKA,Şişli
SEYRANTEPE MERKEZ TAKSİ DURAĞI,Kağıthane
AVRUPA TAKSİ DURAĞI,Şişli
İSPARK - ŞİŞLİ MECİDİYEKÖY ORTAKLAR CADDESİ,Şişli
SİLİVRİ E 5 TAKSİ DURAĞI,Silivri
